row_id,S_at_h,ChurnRisk_at_h,RiskSegment,ValueMetric,ValueSegment,NextBestAction,HoldoutControl,RevProxy,ActionCost,ExpectedBenefit_placeholder
579,3.9102939692546885e-06,0.9999960897060307,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1203,6.321309212200813e-06,0.9999936786907878,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1028,7.745083034699586e-06,0.9999922549169653,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1387,8.09904304455525e-06,0.9999919009569554,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1651,8.57925479140279e-06,0.9999914207452086,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
453,9.605486414304872e-06,0.9999903945135857,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
641,1.0739466099067847e-05,0.9999892605339009,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
172,1.1177808508572143e-05,0.9999888221914914,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
758,1.1831313829695017e-05,0.9999881686861704,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1550,1.2439633254663358e-05,0.9999875603667453,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
753,1.2985904719863367e-05,0.9999870140952801,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
158,1.364110881639548e-05,0.9999863588911836,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
623,1.364110881639548e-05,0.9999863588911836,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
673,1.529257104112012e-05,0.9999847074289588,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1786,1.6220591652221804e-05,0.9999837794083478,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
886,1.7135375049121826e-05,0.9999828646249509,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1765,1.9422516972465692e-05,0.9999805774830275,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
4030,2.0249183564640934e-05,0.9999797508164353,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
456,2.0249183564640934e-05,0.9999797508164353,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
200,2.126605914213818e-05,0.9999787339408579,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
964,2.126605914213818e-05,0.9999787339408579,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
598,2.2531682241444387e-05,0.9999774683177586,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1760,2.2651098627709675e-05,0.9999773489013722,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1213,2.3309686680491785e-05,0.9999766903133195,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
464,2.435415461273932e-05,0.9999756458453872,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1699,2.534043613327336e-05,0.9999746595638668,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
4329,2.5800765273090022e-05,0.9999741992347269,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1497,2.5800765273090022e-05,0.9999741992347269,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1416,2.5800765273090022e-05,0.9999741992347269,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1737,2.755598675736662e-05,0.9999724440132426,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1635,3.2149581320860915e-05,0.9999678504186792,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
5177,3.344285265303633e-05,0.999966557147347,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
991,5.1987914353411814e-05,0.9999480120856465,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
551,5.36105042972896e-05,0.9999463894957027,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),True,0.05,35.0,0.0
1538,6.568947827988078e-05,0.9999343105217201,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),True,0.05,35.0,0.0
652,8.325166670121906e-05,0.9999167483332988,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
1510,9.639929656464297e-05,0.9999036007034353,High,1.0,High,High-Touch Intervention (Sr. AM outreach + significant offer),False,0.05,35.0,0.0
