row_id,monthly_charges,total_charges,contract,internet_service,paperless_billing_flag,autopay_flag,num_services,senior_citizen_flag,partner_flag,dependents_flag,payment_method,gender,contract_term_months,long_contract_flag,long_contract_and_autopay_flag,electronic_check_flag,mailed_check_flag,bank_auto_flag,card_auto_flag,paperless_or_autopay_flag,paperless_and_autopay_flag,num_streaming,num_security,addon_heavy_flag,service_penetration,charge_gap_vs_avg,monthly_to_total_ratio,mc_z_by_service,mc_pct_by_service,high_price_by_service_flag,fiber_and_high_price_flag,household_type,S_at_h,ChurnRisk_at_h,RiskSegment
238,74.4,215.8,Month-to-month,Fiber optic,0,1,2,0,0,0,Bank transfer (automatic),Female,1,0,0,0,0,0,0,1,0,0,0,0,0.25,2.4666666666666686,1.034291010180246,-1.3503969505886464,0.10497416020671835,0,0,single,0.3965710695056507,0.6034289304943493,High
2245,79.45,5502.55,Two year,DSL,1,1,7,0,0,0,Credit card (automatic),Male,24,1,1,0,0,0,0,1,1,1,4,1,0.875,-0.29710144927535964,0.9962744545585696,1.3132769614732784,0.8760347682119205,1,0,single,0.9996725446979502,0.0003274553020498061,Low
1271,91.15,2995.45,Month-to-month,Fiber optic,1,0,4,0,1,0,Electronic check,Female,1,0,0,1,0,0,0,1,0,1,1,1,0.5,-5.477419354838702,0.9433140262634186,-0.02764969767742276,0.4914405684754522,0,0,couple_no_kids,0.9673140239811133,0.032685976018886675,Low
4927,89.0,605.45,Month-to-month,Fiber optic,1,0,3,1,1,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,2,0,0,0.375,2.5071428571428527,1.0289867040924883,-0.19743516596155042,0.41101421188630494,0,0,couple_no_kids,0.6118151157834012,0.3881848842165988,High
1555,59.9,2816.65,One year,DSL,1,1,5,1,1,0,Bank transfer (automatic),Male,12,1,1,0,0,0,0,1,1,2,3,1,0.625,-1.3315217391304373,0.9782543091811196,0.11139579442748894,0.5682947019867549,0,0,couple_no_kids,0.9981574678074651,0.0018425321925349403,Low
6253,84.45,4959.15,One year,Fiber optic,0,0,3,1,0,0,Electronic check,Female,12,1,0,1,0,0,0,0,0,1,0,0,0.375,4.463709677419359,1.0558059344715405,-0.5567485988419124,0.3150839793281654,0,0,single,0.9971570251075206,0.002842974892479422,Low
3726,25.25,1841.2,Two year,No,1,1,2,0,1,0,Bank transfer (automatic),Female,24,1,1,0,0,0,0,1,1,0,0,0,1.0,-0.32222222222222285,0.9873995220122241,1.930847148542323,0.9233552631578947,1,0,couple_no_kids,0.9996812336879368,0.00031876631206317896,Low
493,100.5,3653.35,Month-to-month,Fiber optic,1,1,6,1,1,0,Bank transfer (automatic),Female,1,0,0,0,0,0,0,1,1,1,3,1,0.75,-3.8814285714285717,0.9628149506524973,0.7107196643954091,0.7285206718346253,0,0,couple_no_kids,0.9904383205247606,0.009561679475239449,Low
906,91.4,449.75,Month-to-month,Fiber optic,1,0,3,1,0,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,2,0,0,0.375,1.4500000000000028,1.0161200666924277,-0.007907201365314946,0.4962855297157623,0,0,single,0.451994895952842,0.5480051040471581,High
2196,114.05,8468.2,Two year,Fiber optic,1,1,8,0,1,0,Credit card (automatic),Male,24,1,1,0,0,0,0,1,1,2,4,1,1.0,-3.563888888888897,0.9696984010687254,1.7807629645116525,0.9710917312661499,1,1,couple_no_kids,0.9996272272488159,0.0003727727511840806,Low
1518,20.6,20.6,Month-to-month,No,0,0,1,0,0,0,Mailed check,Male,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.0,0.9999999999514563,-0.22033823711780487,0.6934210526315789,0,0,single,0.31882564493327553,0.6811743550667244,High
5161,75.0,1573.95,Month-to-month,Fiber optic,0,1,2,0,1,1,Bank transfer (automatic),Male,1,0,0,0,0,0,0,1,0,0,1,0,0.25,3.4568181818181785,1.0483179262218856,-1.3030149594395881,0.1303294573643411,0,0,family,0.9897157701661972,0.010284229833802838,Low
